Timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz,stateEstimateZ.qw,stateEstimateZ.qx,stateEstimateZ.qy,stateEstimateZ.qz,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,stateEstimateZ.rateYaw
704094,8,13,429,-44,12,62,-0.004151311826926893,-0.01383770608975631,0.030442953397463883,0.9994320942859144,108,-55,79
704140,6,14,430,-54,14,47,0.0,-0.011070164871805049,0.030442953397463883,0.9994752013122441,305,-200,72
704190,3,14,433,-64,8,56,0.006918853044878155,-0.006918853044878155,0.034594265224390776,0.9993535389233739,144,-156,63
704244,0,14,438,-71,-2,84,0.008302623653853786,-0.004151311826926893,0.04151311826926893,0.9990948373713777,-99,-33,69
704291,-2,14,441,-71,-8,83,0.006918853044878155,-0.002767541217951262,0.04289688887824456,0.9990517139331266,48,-80,43
704343,-6,13,447,-75,-19,113,0.009686394262829417,0.0,0.04843197131414709,0.9987795141675717,134,-160,18
704390,-9,11,454,-67,-31,125,0.012453935480780678,0.004151311826926893,0.05396705375004961,0.9984564202861813,-64,-25,13
704441,-13,9,461,-63,-44,128,0.008302623653853786,0.001383770608975631,0.060885906794927766,0.9981092415027143,-207,89,8
704491,-15,7,466,-61,-48,123,0.005535082435902524,0.001383770608975631,0.06365344801287903,0.9979557538274937,6,-125,3
704541,-18,5,471,-58,-52,105,0.005535082435902524,0.005535082435902524,0.06365344801287903,0.9979413631476186,2,-145,-26
704590,-17,4,469,-30,-49,39,0.002767541217951262,0.009686394262829417,0.05535082435902524,0.9984161460656414,-153,59,-15
704640,-20,2,473,-30,-47,33,-0.001383770608975631,0.005535082435902524,0.0581183655769765,0.9982933955626424,-132,147,18
704695,-20,0,471,-18,-38,1,-0.002767541217951262,0.004151311826926893,0.060885906794927766,0.9981322626182774,95,-123,17
704741,-21,0,472,-16,-37,0,0.0,0.006918853044878155,0.06365344801287903,0.9979480788240513,98,-157,-24
704790,-21,-2,471,-2,-35,-17,0.001383770608975631,0.009686394262829417,0.05535082435902524,0.9984190228495564,-72,30,13
704842,-21,-4,468,7,-35,-25,-0.0,0.008302623653853786,0.05119951253209835,0.9986539322292473,97,88,25
704893,-22,-5,473,3,-34,18,0.002767541217951262,0.006918853044878155,0.049815741923122714,0.9987306253664194,216,-116,50
704943,-21,-7,473,13,-37,19,0.006918853044878155,0.009686394262829417,0.047048200705171454,0.9988216908183033,34,-56,41
704993,-21,-9,477,19,-47,32,0.006918853044878155,0.009686394262829417,0.05119951253209835,0.9986175009257569,-138,145,46
705040,-20,-12,478,26,-50,25,0.004151311826926893,0.005535082435902524,0.05258328314107398,0.998592573478618,22,121,48
705091,-18,-14,478,33,-55,2,0.005535082435902524,0.004151311826926893,0.05119951253209835,0.9986644778848494,19,35,47
705143,-18,-18,482,28,-62,19,0.004151311826926893,0.001383770608975631,0.0581183655769765,0.9983001088709137,-227,97,39
705191,-16,-20,482,31,-61,6,-0.001383770608975631,-0.001383770608975631,0.06226967740390339,0.9980574420512164,-154,66,29
705243,-15,-23,483,27,-58,12,-0.004151311826926893,-0.001383770608975631,0.06503721862185466,0.9978732444468839,83,-27,16
705292,-12,-25,478,35,-52,-28,-0.001383770608975631,0.0,0.060885906794927766,0.99814377297695,33,-28,15
705342,-11,-27,476,33,-48,-33,-0.002767541217951262,-0.0,0.05950213618595213,0.9982243417713852,-206,170,0
705394,-10,-30,475,26,-42,-19,-0.008302623653853786,-0.005535082435902524,0.06226967740390339,0.9980094771989413,-150,57,1
705440,-9,-32,475,16,-32,-8,-0.011070164871805049,-0.005535082435902524,0.06226967740390339,0.9979826158747219,23,-60,-11
705490,-8,-33,471,16,-23,-25,-0.009686394262829417,-0.004151311826926893,0.0581183655769765,0.9982540738504209,-20,-9,-20
705541,-6,-34,467,14,-14,-34,-0.011070164871805049,-0.005535082435902524,0.05535082435902524,0.9983902546373914,-88,128,6
705592,-8,-34,471,-5,-3,9,-0.012453935480780678,-0.008302623653853786,0.0581183655769765,0.9981974862291348,73,3,-11
705640,-9,-34,473,-18,10,23,-0.009686394262829417,-0.006918853044878155,0.05950213618595213,0.998157201560975,155,-200,-39
705690,-10,-33,476,-26,15,36,-0.006918853044878155,-0.002767541217951262,0.06226967740390339,0.9980315413172892,-11,-61,-50
705743,-11,-33,476,-24,21,24,-0.008302623653853786,-0.002767541217951262,0.06365344801287903,0.9979336880334991,-57,111,-38
705790,-11,-31,474,-20,28,-3,-0.006918853044878155,-0.004151311826926893,0.06503721862185466,0.997850217355587,236,-77,-42
705843,-11,-30,469,-15,32,-40,0.001383770608975631,0.001383770608975631,0.060885906794927766,0.9981428137854637,256,-237,-69
705891,-14,-28,471,-21,27,-21,0.004151311826926893,0.005535082435902524,0.06365344801287903,0.9979480788240513,-134,3,-58
705942,-13,-27,468,-10,27,-35,0.001383770608975631,0.002767541217951262,0.06503721862185466,0.9978780416906876,-71,124,-36
705990,-14,-25,467,-7,28,-22,0.001383770608975631,0.001383770608975631,0.06503721862185466,0.9978809200259,249,-113,-78
706042,-13,-24,464,0,25,-26,0.006918853044878155,0.005535082435902524,0.06226967740390339,0.9980200296642272,35,-116,-82
706090,-14,-23,466,0,18,0,0.006918853044878155,0.006918853044878155,0.06226967740390339,0.9980113958372923,-258,206,-84
706140,-12,-22,462,17,15,-30,0.0,0.001383770608975631,0.047048200705171454,0.9988916617878576,-73,198,-33
706190,-11,-21,460,16,14,-29,0.002767541217951262,-0.001383770608975631,0.044280659487220195,0.9990143387809234,259,-33,6
