timestamp,motor.m1,motor.m2,motor.m3,motor.m4
830435,52313.0,45307.0,53677.0,40952.0
830486,54010.0,43495.0,54505.0,41419.0
830535,53939.0,44244.0,53426.0,43215.0
830585,53243.0,43109.0,53598.0,44019.0
830635,53689.0,44819.0,53034.0,42000.0
830685,53529.0,44431.0,53122.0,41981.0
830735,52535.0,42805.0,53492.0,43805.0
830785,53194.0,44027.0,52496.0,42666.0
830835,52804.0,44854.0,52571.0,41598.0
830885,52007.0,44248.0,52980.0,42490.0
830935,52597.0,44227.0,52237.0,42926.0
830985,51372.0,43454.0,51158.0,41128.0
831035,50487.0,44075.0,50967.0,40100.0
831085,52790.0,39293.0,55185.0,34154.0
831135,35626.0,47256.0,59672.0,35403.0
831185,51212.0,49466.0,45803.0,48407.0
831235,51746.0,48523.0,42191.0,52196.0
831285,43380.0,51971.0,50698.0,50226.0
831335,49732.0,53442.0,48466.0,47408.0
831385,32184.0,55722.0,44783.0,56548.0
831435,48504.0,48418.0,48037.0,50432.0
831485,29210.0,56403.0,51226.0,51722.0
831535,52662.0,43114.0,55318.0,41894.0
831585,40276.0,50122.0,52583.0,48185.0
831635,12447.0,56068.0,58939.0,53738.0
831685,36367.0,59577.0,35472.0,58816.0
831735,47010.0,59688.0,12239.0,58120.0
831785,51108.0,58607.0,0.0,58172.0
831835,0.0,54478.0,56127.0,55369.0
831885,29684.0,47879.0,55634.0,36669.0
831935,52303.0,42051.0,41770.0,35362.0
831985,46739.0,36290.0,50223.0,42494.0
832035,47187.0,41337.0,52684.0,40092.0
832085,54410.0,44558.0,47184.0,41259.0
832135,50191.0,41398.0,50399.0,44220.0
832185,52902.0,43117.0,50095.0,45637.0
832235,55568.0,46826.0,49038.0,44394.0
832285,58579.0,45505.0,49736.0,46273.0
832335,61444.0,47547.0,52511.0,50142.0
832385,61888.0,48680.0,54526.0,49086.0
832435,61477.0,47732.0,54505.0,46734.0
832485,60640.0,45446.0,53912.0,45604.0
832535,58287.0,49334.0,54061.0,40931.0
832585,56165.0,44431.0,54413.0,43194.0
832635,54999.0,44190.0,52495.0,42554.0
832685,53143.0,47279.0,51127.0,39239.0
832735,50661.0,45885.0,52348.0,41521.0
832785,51088.0,44256.0,51941.0,42811.0
832835,49688.0,45244.0,53494.0,40660.0
832885,52058.0,42744.0,52335.0,41073.0
832935,50886.0,43591.0,53644.0,41043.0
832985,50186.0,43799.0,54391.0,41336.0
833035,51180.0,43049.0,53029.0,41809.0
833085,49845.0,42438.0,53384.0,42507.0
833135,49781.0,43333.0,52013.0,41034.0
833185,49616.0,42876.0,51778.0,41184.0
833235,48237.0,41770.0,52642.0,41526.0
833285,55158.0,45895.0,49849.0,44023.0
833335,56163.0,45532.0,49515.0,44655.0
833385,50953.0,46580.0,54921.0,45407.0
833435,53741.0,46526.0,52477.0,44708.0
833485,52556.0,46055.0,52681.0,45190.0
833535,51961.0,45533.0,52939.0,44421.0
833585,51841.0,45939.0,52296.0,43548.0
833635,51608.0,45022.0,51790.0,43238.0
833685,50759.0,44975.0,52364.0,43161.0
833735,50985.0,44757.0,51498.0,43112.0
833785,50947.0,44940.0,51138.0,42948.0
833835,50901.0,45466.0,51030.0,42386.0
833885,50060.0,45160.0,51462.0,42776.0
833935,50624.0,45427.0,50779.0,43160.0
833985,50801.0,46692.0,51163.0,42586.0
834035,50016.0,46183.0,52585.0,43334.0
834085,54828.0,50159.0,52783.0,45927.0
834135,36537.0,57702.0,57455.0,49734.0
834185,49722.0,55025.0,43657.0,56927.0
834235,52135.0,49931.0,51735.0,51352.0
834285,47999.0,51749.0,54483.0,47032.0
834335,52420.0,48024.0,50699.0,47973.0
834385,50223.0,47036.0,51097.0,46677.0
834435,49510.0,47481.0,51372.0,44914.0
834485,50182.0,46451.0,49872.0,44197.0
834535,49036.0,45282.0,50086.0,44597.0
834585,49686.0,46708.0,49945.0,44219.0
834635,50791.0,46877.0,49520.0,44576.0
834685,44434.0,50648.0,46492.0,50705.0
834735,50681.0,47465.0,50800.0,45987.0
834785,50548.0,47648.0,51174.0,46572.0
834835,50327.0,47581.0,51428.0,46723.0
834885,49770.0,46972.0,49469.0,45181.0
834935,50558.0,46256.0,49502.0,46835.0
834985,50016.0,49081.0,50511.0,44719.0
835035,50885.0,47368.0,50563.0,47357.0
835085,50914.0,47519.0,50195.0,47615.0
