timestamp,motor.m1,motor.m2,motor.m3,motor.m4
188278,37053.0,47198.0,58906.0,41926.0
188328,53359.0,46961.0,50376.0,42036.0
188378,57222.0,44788.0,45293.0,45038.0
188428,50156.0,46276.0,54736.0,46339.0
188478,54972.0,49764.0,50956.0,44677.0
188528,59239.0,41316.0,54463.0,42738.0
188578,54503.0,49363.0,52775.0,49101.0
188628,54895.0,49851.0,51290.0,48488.0
188678,55362.0,49854.0,48920.0,47593.0
188728,52267.0,48617.0,50583.0,47827.0
188778,51061.0,56178.0,44270.0,39781.0
188828,50341.0,38936.0,47718.0,50345.0
188878,48484.0,46209.0,46695.0,43562.0
188928,48773.0,49592.0,44992.0,38280.0
188978,48620.0,45142.0,46017.0,44668.0
189028,49242.0,46515.0,45665.0,44552.0
189078,50434.0,50360.0,45585.0,42114.0
189128,49316.0,49732.0,47680.0,45841.0
189178,50063.0,48961.0,48607.0,45190.0
189228,51319.0,49193.0,48766.0,44384.0
189278,50051.0,49273.0,49151.0,42989.0
189328,40835.0,51204.0,57019.0,34192.0
189378,53990.0,43284.0,42977.0,45609.0
189428,50552.0,42966.0,49515.0,41793.0
189478,44732.0,49899.0,52918.0,39692.0
189528,52491.0,47146.0,49647.0,41080.0
189578,49726.0,47304.0,50402.0,44861.0
189628,48382.0,49402.0,52634.0,43307.0
189678,50020.0,47868.0,50942.0,43846.0
189728,50114.0,46272.0,51235.0,44560.0
189778,47977.0,47467.0,51998.0,41543.0
189828,50337.0,44756.0,52108.0,38489.0
189878,41321.0,25139.0,54835.0,54362.0
189928,51066.0,45357.0,50405.0,33248.0
189978,50839.0,54105.0,49955.0,26742.0
190028,47206.0,38333.0,53760.0,48010.0
190078,50809.0,40565.0,52090.0,48098.0
190128,52123.0,49444.0,51317.0,39927.0
190178,50124.0,45811.0,54206.0,45456.0
190228,50839.0,42923.0,54341.0,48978.0
190278,51665.0,46017.0,51593.0,43628.0
190328,50308.0,45337.0,52349.0,44597.0
190378,48299.0,44007.0,57034.0,50040.0
190428,56596.0,49370.0,51889.0,46999.0
190478,55221.0,46420.0,53570.0,50245.0
190528,54720.0,51365.0,60046.0,30926.0
190578,55173.0,42200.0,53335.0,51261.0
190628,53764.0,40997.0,53464.0,50414.0
190679,50914.0,47475.0,51614.0,40212.0
190728,51628.0,44021.0,51044.0,42943.0
190778,50922.0,37953.0,50812.0,47378.0
190828,50595.0,41342.0,49382.0,43013.0
190879,50231.0,43753.0,50076.0,42838.0
190928,50349.0,40366.0,50737.0,46400.0
190978,50682.0,39043.0,49948.0,47560.0
191028,50929.0,41538.0,49993.0,45538.0
191078,49493.0,42398.0,50979.0,43848.0
191128,50375.0,40515.0,49637.0,44983.0
191178,50165.0,39473.0,49661.0,46845.0
191228,50500.0,43052.0,50224.0,43964.0
191278,51438.0,42238.0,50205.0,44924.0
191329,50543.0,42225.0,50791.0,47350.0
191378,51733.0,42845.0,50926.0,45862.0
191429,51112.0,43211.0,51332.0,45382.0
191478,51165.0,41318.0,51288.0,46238.0
191529,50959.0,42741.0,51475.0,45174.0
191578,41833.0,48294.0,57571.0,39315.0
191629,54499.0,38845.0,47970.0,48449.0
191678,51150.0,40234.0,52205.0,47302.0
191728,48683.0,47729.0,54595.0,40691.0
191778,53216.0,43735.0,50879.0,44861.0
191828,53064.0,45003.0,51923.0,45423.0
191878,52260.0,46646.0,52598.0,44308.0
191928,55253.0,44092.0,49903.0,47986.0
191978,54012.0,45219.0,52135.0,48017.0
192028,54156.0,46490.0,53089.0,47584.0
192078,54544.0,49510.0,55132.0,46563.0
192128,54045.0,61496.0,54045.0,8919.0
192178,52122.0,44461.0,55790.0,45767.0
192228,50658.0,39800.0,54727.0,47407.0
192278,53412.0,49479.0,51223.0,36132.0
192328,49192.0,42638.0,54655.0,42654.0
192378,51660.0,38144.0,52442.0,48498.0
192428,50551.0,45900.0,53556.0,42357.0
192478,54580.0,47111.0,55085.0,34208.0
192528,48264.0,40201.0,52851.0,44843.0
192578,49573.0,41861.0,50537.0,43660.0
192628,50116.0,45546.0,51760.0,42651.0
192678,50672.0,49764.0,50747.0,44020.0
192728,50432.0,49013.0,50229.0,39623.0
