Timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz,stateEstimateZ.qw,stateEstimateZ.qx,stateEstimateZ.qy,stateEstimateZ.qz,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,stateEstimateZ.rateYaw
1088862,909,-427,435,-43,79,62,-0.05258328314107398,-0.030442953397463883,0.020756559134634464,0.9979365662082114,-2907,1552,-63
1088912,910,-419,434,-55,170,31,-0.1120854193270261,-0.0581183655769765,0.01660524730770757,0.9918585484426675,-1134,279,-31
1088962,902,-408,440,-136,283,47,-0.12038804298087989,-0.0581183655769765,0.01660524730770757,0.9908850793365216,8,-103,-71
1089012,894,-391,443,-196,397,13,-0.13145820785268494,-0.06226967740390339,0.015221476698731942,0.9892469527429862,-934,312,-95
1089062,900,-370,410,-142,512,-209,-0.14944722576936814,-0.05950213618595213,0.006918853044878155,0.9869534700135013,-46,-78,-45
1089112,891,-341,399,-202,659,-216,-0.1383770608975631,-0.0581183655769765,0.005535082435902524,0.9886573761735866,774,50,-39
1089162,880,-308,381,-266,782,-219,-0.12177181358985553,-0.05950213618595213,0.009686394262829417,0.9907256406142575,419,-52,-79
1089212,846,-260,392,-432,937,-51,-0.10793410750009921,-0.05950213618595213,0.008302623653853786,0.9923410656966323,894,-658,-53
1089262,820,-214,400,-505,1027,65,-0.07610738349365971,-0.037361806442342035,0.005535082435902524,0.9963840245906905,1428,-1050,-62
1089312,795,-165,406,-526,1070,108,-0.04151311826926893,-0.01383770608975631,0.002767541217951262,0.9990382973726994,1169,-733,-69
1089362,773,-115,405,-506,1072,84,-0.012453935480780678,0.005535082435902524,-0.002767541217951262,0.9999032968587889,1009,-542,-43
1089412,747,-66,414,-501,1041,122,0.004151311826926893,-0.011070164871805049,-0.002767541217951262,0.9999262766701521,-221,2405,-151
1089462,722,-17,416,-536,1022,93,-0.006918853044878155,-0.07333984227570844,-0.005535082435902524,0.9972676470586747,-479,1670,-84
1089512,693,31,421,-618,1019,77,-0.011070164871805049,-0.08579377775648912,-0.006918853044878155,0.9962273880096474,81,-517,13
1089562,662,81,417,-683,1021,18,-0.006918853044878155,-0.07749115410263534,-0.008302623653853786,0.996934459705776,215,280,-55
1089612,628,126,424,-756,993,36,0.004151311826926893,-0.08856131897444039,-0.008302623653853786,0.9960274724283892,410,280,-53
1089662,590,175,419,-828,984,-8,0.01383770608975631,-0.0844100071475135,-0.009686394262829417,0.9962879314483917,336,-570,26
1089712,547,224,417,-900,967,-23,0.024907870961561357,-0.07057230105775718,-0.009686394262829417,0.9971485957738498,512,-431,0
1089762,501,272,416,-967,937,-19,0.03874557705131767,-0.0581183655769765,-0.008302623653853786,0.9975229833352631,593,-741,17
1089812,451,318,415,-1019,892,0,0.05258328314107398,-0.03597803583336641,-0.005535082435902524,0.99795287570812,438,-1043,-5
1089862,401,344,438,-1043,765,111,0.06780475983980593,-0.008302623653853786,-0.001383770608975631,0.9976631025363374,411,-944,-61
1089912,351,377,444,-1030,674,118,0.07333984227570844,0.01383770608975631,0.0,0.9972110034617286,-167,-786,-97
1089962,304,404,448,-976,571,89,0.07610738349365971,0.023524100352585727,-0.0,0.9968220918901981,602,712,-125
1090014,270,439,457,-895,514,60,0.09686394262829418,0.001383770608975631,-0.004151311826926893,0.9952880127920359,837,1154,-1
1090062,227,461,459,-892,410,16,0.10931787810907485,-0.017989017916683205,-0.006918853044878155,0.993819966710604,-38,231,67
1090113,183,479,459,-908,308,-22,0.10378279567317232,-0.020756559134634464,-0.005535082435902524,0.9943679698369103,-244,163,32
1090162,140,493,458,-913,218,-53,0.10101525445522107,-0.02767541217951262,-0.004151311826926893,0.9944912048571152,28,411,12
1090212,96,503,457,-928,133,-67,0.0982477132372698,-0.03321049461541514,-0.004151311826926893,0.9945990229741644,-347,85,71
1090262,48,509,452,-963,48,-88,0.08579377775648912,-0.03321049461541514,-0.001383770608975631,0.9957582919185616,-478,-83,39
1090313,2,512,452,-981,-18,-63,0.07610738349365971,-0.031826724006439516,-0.001383770608975631,0.9965905934713957,-297,73,64
1090365,-46,512,448,-1011,-73,-66,0.06642098923083029,-0.031826724006439516,-0.0,0.997283967498032,-409,-44,71
1090413,-96,510,449,-1034,-114,-34,0.05258328314107398,-0.02905918278848825,0.002767541217951262,0.9981898130843541,-402,-191,94
1090462,-149,505,447,-1060,-155,-24,0.04289688887824456,-0.023524100352585727,0.002767541217951262,0.998798685593236,-335,-320,72
1090512,-192,500,443,-1078,-174,-40,0.0401293476602933,-0.015221476698731942,0.005535082435902524,0.9990632136986614,1278,-378,94
1090562,-243,495,446,-1071,-202,0,0.0844100071475135,-0.008302623653853786,0.008302623653853786,0.9963619239886086,2337,156,105
1090612,-295,484,446,-1073,-293,-2,0.12453935480780678,-0.012453935480780678,0.011070164871805049,0.9920747451905058,82,110,132
1090662,-349,469,446,-1083,-404,-19,0.12315558419883116,-0.012453935480780678,0.01383770608975631,0.9922127390140981,133,-394,94
1090712,-403,447,446,-1087,-522,-16,0.13145820785268494,-0.004151311826926893,0.017989017916683205,0.9911497875864521,502,1,-13
1090762,-457,420,447,-1084,-636,-28,0.13699329028858748,-0.005535082435902524,0.01660524730770757,0.9904173196386382,-438,145,-10
1090812,-511,386,442,-1091,-754,-64,0.12177181358985553,-0.006918853044878155,0.01660524730770757,0.9923950930196254,-842,-186,10
1090862,-564,350,442,-1085,-836,-57,0.0982477132372698,-0.001383770608975631,0.01660524730770757,0.9950224810447243,-811,-288,13
1090912,-619,307,437,-1086,-918,-64,0.07749115410263534,0.005535082435902524,0.017989017916683205,0.996815368627843,-869,-518,29
1090962,-670,267,437,-1064,-942,-41,0.05119951253209835,0.020756559134634464,0.017989017916683205,0.9983106582641293,-1114,-731,18
1091012,-724,220,435,-1040,-974,-24,0.024907870961561357,0.037361806442342035,0.019372788525658834,0.9988034783921547,-892,-594,9
1091062,-771,178,439,-984,-947,16,0.001383770608975631,0.05396705375004961,0.020756559134634464,0.9983260026370802,-19,-708,33
1091112,-820,132,438,-931,-935,18,0.011070164871805049,0.07057230105775718,0.020756559134634464,0.9972292449712928,1058,-448,32
1091162,-861,92,444,-841,-918,37,0.02767541217951262,0.0802586953205866,0.019372788525658834,0.9962014396952412,122,-167,34
1091213,-900,47,448,-758,-932,28,0.02767541217951262,0.08579377775648912,0.020756559134634464,0.9957121393815859,-5,-356,7
1091262,-936,4,448,-674,-933,-2,0.02767541217951262,0.09548017201931853,0.020756559134634464,0.9948300224484311,362,-301,-25
1091313,-966,-40,448,-572,-941,-21,0.03321049461541514,0.09963148384624543,0.022140329743610097,0.9942235343587673,61,206,-59
1091362,-993,-84,444,-487,-954,-60,0.03321049461541514,0.09409640141034291,0.019372788525658834,0.9948203985412458,3,86,-43
1091412,-1015,-131,441,-397,-971,-81,0.03321049461541514,0.09409640141034291,0.019372788525658834,0.9948203985412458,38,-18,-21
1091462,-1034,-178,436,-317,-989,-97,0.031826724006439516,0.09132886019239164,0.01660524730770757,0.9951735349660512,-102,267,-17
1091513,-1049,-231,432,-227,-1018,-89,0.030442953397463883,0.08302623653853786,0.01660524730770757,0.9959438419893646,-78,260,13
1091562,-1060,-284,430,-155,-1050,-69,0.02767541217951262,0.07610738349365971,0.01660524730770757,0.9965771437777875,-166,246,12
