timestamp,motor.m1,motor.m2,motor.m3,motor.m4
1088265,45753.0,43488.0,47412.0,37617.0
1088315,49630.0,43170.0,49364.0,44717.0
1088365,47152.0,44290.0,51777.0,43555.0
1088415,47488.0,41464.0,47733.0,41217.0
1088465,47694.0,40186.0,46952.0,42310.0
1088516,48258.0,43637.0,50174.0,43572.0
1088565,46930.0,43850.0,49505.0,40015.0
1088616,48984.0,40345.0,47194.0,43226.0
1088665,46950.0,44161.0,49618.0,40615.0
1088716,49291.0,44113.0,48043.0,40822.0
1088765,49960.0,44686.0,50416.0,44287.0
1088815,53484.0,46565.0,43952.0,38260.0
1088867,35275.0,38948.0,55598.0,43466.0
1088915,50865.0,41333.0,44217.0,40974.0
1088967,49922.0,43846.0,44627.0,37632.0
1089016,43278.0,40604.0,51156.0,42533.0
1089065,55460.0,49030.0,50393.0,47757.0
1089115,56090.0,52896.0,53447.0,47239.0
1089167,55558.0,52074.0,56576.0,51114.0
1089215,53230.0,48323.0,51500.0,46359.0
1089267,51225.0,45574.0,46342.0,42997.0
1089315,46820.0,43661.0,46833.0,42128.0
1089365,57094.0,39756.0,29118.0,47066.0
1089415,36473.0,50221.0,52538.0,34558.0
1089467,46808.0,45019.0,46428.0,42490.0
1089515,49632.0,39059.0,43787.0,46753.0
1089565,44116.0,46855.0,50636.0,43253.0
1089615,46208.0,46505.0,48601.0,42941.0
1089665,47712.0,45364.0,49077.0,45442.0
1089715,46923.0,48653.0,50800.0,43670.0
1089765,48385.0,48335.0,49881.0,43866.0
1089815,47822.0,47361.0,49565.0,44023.0
1089865,47155.0,46192.0,43833.0,37559.0
1089915,46781.0,26588.0,42191.0,51157.0
1089966,45750.0,45129.0,43726.0,37404.0
1090015,46272.0,45573.0,44118.0,36707.0
1090065,48178.0,39599.0,43979.0,44654.0
1090115,47870.0,42633.0,46100.0,44107.0
1090165,49330.0,47837.0,45715.0,40015.0
1090215,49573.0,42005.0,46953.0,46440.0
1090266,49981.0,43924.0,48042.0,46089.0
1090315,50747.0,44266.0,48902.0,42607.0
1090365,50198.0,45051.0,47593.0,43607.0
1090415,47101.0,45006.0,49681.0,42872.0
1090465,45575.0,10061.0,50709.0,58697.0
1090515,52629.0,44286.0,45027.0,42119.0
1090565,51886.0,47593.0,44732.0,35337.0
1090615,44394.0,35188.0,52262.0,47135.0
1090665,52003.0,41409.0,45536.0,42459.0
1090715,51144.0,45163.0,45540.0,38630.0
1090765,49541.0,42831.0,47978.0,41538.0
1090815,50343.0,44709.0,49207.0,41811.0
1090865,50295.0,45680.0,49766.0,40296.0
