Timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz,stateEstimateZ.qw,stateEstimateZ.qx,stateEstimateZ.qy,stateEstimateZ.qz,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,stateEstimateZ.rateYaw
95490,-7,12,489,-112,55,73,-0.03874557705131767,-0.0401293476602933,0.03321049461541514,0.9978905144166464,-2786,1893,83
95540,-14,16,493,-166,106,53,-0.10378279567317232,-0.08579377775648912,0.037361806442342035,0.9901881914262034,-2784,1725,137
95589,-25,25,495,-271,228,9,-0.15359853759629505,-0.116236731153953,0.03874557705131767,0.9805076704635634,361,-541,86
95639,-44,44,492,-396,391,-47,-0.13007443724370932,-0.08994508958341602,0.04289688887824456,0.9864838460715568,1456,-1375,-83
95689,-66,67,483,-469,496,-124,-0.11346918993600175,-0.06642098923083029,0.0401293476602933,0.990506249642689,-710,176,-36
95739,-88,90,477,-530,591,-153,-0.1383770608975631,-0.0802586953205866,0.03874557705131767,0.9863615519178299,-1258,706,58
95790,-117,124,468,-624,739,-170,-0.15221476698731942,-0.08717754836546475,0.0401293476602933,0.983676966909535,1588,-1267,11
95847,-151,163,455,-689,858,-186,-0.09548017201931853,-0.03874557705131767,0.037361806442342035,0.9939750562410944,2336,-1925,-122
95892,-184,205,446,-691,906,-163,-0.049815741923122714,0.004151311826926893,0.037361806442342035,0.9980507271106662,228,-349,-93
95939,-208,237,441,-652,897,-139,-0.05119951253209835,0.004151311826926893,0.03874557705131767,0.9979279316591713,-615,768,2
95989,-244,287,437,-655,952,-61,-0.049815741923122714,-0.006918853044878155,0.037361806442342035,0.9980353785054702,1416,-716,23
96043,-270,325,436,-640,964,-10,-0.01383770608975631,0.02629164157053699,0.03874557705131767,0.9988073126147307,1095,-3106,-80
96089,-300,372,438,-554,936,34,0.002767541217951262,0.10793410750009921,0.03321049461541514,0.9935993318240323,-1145,-2207,-152
96139,-328,426,441,-415,973,59,-0.03597803583336641,0.14114460211551436,0.03321049461541514,0.988777449823076,-803,572,-117
96189,-344,478,444,-260,1011,72,-0.02767541217951262,0.11762050176292864,0.031826724006439516,0.9921625616625276,1865,801,43
96244,-350,530,451,-98,989,93,0.03597803583336641,0.12315558419883116,0.02629164157053699,0.9913864194156303,1759,-1137,-25
96292,-353,570,454,2,951,70,0.05119951253209835,0.14806345516039252,0.023524100352585727,0.9873714801760498,-875,-613,-82
96342,-350,606,456,132,901,42,0.02767541217951262,0.15083099637834377,0.024907870961561357,0.9878581274942128,-977,1557,-15
96394,-340,657,457,269,884,28,0.019372788525658834,0.1023990250641967,0.02629164157053699,0.9942071636807736,1731,1556,139
96439,-325,701,461,348,835,49,0.07610738349365971,0.07472361288468407,0.023524100352585727,0.9940174367473693,2059,4,110
96494,-310,735,465,405,743,50,0.1023990250641967,0.07887492471161096,0.02629164157053699,0.9912627984047249,-1059,21,6
96539,-287,771,467,480,654,33,0.06503721862185466,0.06642098923083029,0.030442953397463883,0.995204320213679,-1680,1345,32
96593,-269,796,468,498,593,37,0.04566443009619582,0.03597803583336641,0.03321049461541514,0.9977561845505956,1606,-199,141
96641,-244,827,469,523,527,34,0.10101525445522107,0.05950213618595213,0.03874557705131767,0.9923478192728675,2673,-2555,-33
96689,-214,851,472,613,394,5,0.14529591394244126,0.12453935480780678,0.03597803583336641,0.9808591272110685,-333,-1226,-138
96744,-187,864,472,709,287,-34,0.11762050176292864,0.12453935480780678,0.03874557705131767,0.9844562696880205,-2294,2386,-6
96792,-150,877,470,818,205,-44,0.07333984227570844,0.06780475983980593,0.03874557705131767,0.9942447195419248,43,1853,206
96840,-104,889,469,864,147,-26,0.08994508958341602,0.03597803583336641,0.044280659487220195,0.994311161052103,1995,-1207,78
96890,-59,893,467,908,26,-43,0.1286906666347337,0.07610738349365971,0.044280659487220195,0.9877679898104785,-157,-1088,-72
96939,-22,889,465,957,-92,-56,0.10516656628214796,0.07610738349365971,0.044280659487220195,0.9905487785614339,-2630,2193,4
96989,30,884,463,1000,-165,-41,0.04151311826926893,-0.005535082435902524,0.04289688887824456,0.9982013227794065,-1179,2903,232
97039,73,883,464,909,-145,14,0.034594265224390776,-0.05673459496800087,0.05535082435902524,0.9962533356482064,1183,-366,181
97093,111,878,466,858,-174,38,0.05673459496800087,-0.02767541217951262,0.06226967740390339,0.9960611148772572,-38,-1790,-64
97142,154,863,466,834,-255,24,0.03874557705131767,-0.0,0.05535082435902524,0.9977149224611892,-1483,1357,-16
97193,185,856,467,787,-247,46,0.019372788525658834,-0.04843197131414709,0.05535082435902524,0.997103467781625,1851,3511,165
97240,222,844,470,695,-278,58,0.08302623653853786,-0.1259231254167824,0.06503721862185466,0.9864178479353712,3693,1116,226
97289,256,826,473,568,-413,30,0.15774984942322193,-0.12453935480780678,0.0802586953205866,0.9763009146448871,365,-1685,-46
97339,282,801,475,463,-567,-4,0.11346918993600175,-0.08856131897444039,0.08717754836546475,0.9857391697491593,-3673,-667,-76
97389,300,777,475,395,-633,-6,0.04289688887824456,-0.09548017201931853,0.0844100071475135,0.9909179301885125,-1361,1125,-22
97443,319,734,470,252,-699,-23,0.060885906794927766,-0.12730689602575807,0.0802586953205866,0.986734210617775,2932,287,62
97489,329,701,468,164,-787,-43,0.116236731153953,-0.11346918993600175,0.08994508958341602,0.9826106279324188,894,-1166,-19
97542,333,668,463,81,-867,-92,0.0982477132372698,-0.09132886019239164,0.0982477132372698,0.9860800236204225,-4117,-875,-109
97592,338,619,458,0,-916,-97,-0.017989017916683205,-0.0802586953205866,0.07887492471161096,0.9934856231026035,-2760,-191,-13
97639,334,575,453,-93,-861,-74,-0.04843197131414709,-0.07472361288468407,0.08164246592956223,0.9926757948036337,1773,-600,-36
97693,332,539,452,-136,-814,-58,0.006918853044878155,-0.04843197131414709,0.08302623653853786,0.9953457277114398,2325,-310,-125
97739,326,504,448,-169,-837,-64,0.04843197131414709,-0.05258328314107398,0.08579377775648912,0.9937448214642436,627,2270,-18
97791,324,463,452,-193,-875,-37,0.060885906794927766,-0.116236731153953,0.08302623653853786,0.9878707267302993,-81,2275,186
97839,312,418,451,-323,-939,-36,0.06503721862185466,-0.15083099637834377,0.08994508958341602,0.9823085317685479,670,-785,80
97891,296,378,448,-437,-997,-56,0.07472361288468407,-0.11900427237190427,0.09963148384624543,0.9850522484930883,433,-2063,-122
97940,270,323,444,-529,-1084,-79,0.07472361288468407,-0.07749115410263534,0.10378279567317232,0.9887571157951593,-777,302,-160
97990,245,266,444,-582,-1151,-60,0.05396705375004961,-0.10101525445522107,0.09409640141034291,0.9889536605516508,-709,1409,16
98039,216,209,444,-672,-1185,-46,0.04289688887824456,-0.11762050176292864,0.09132886019239164,0.9879191838331529,-82,-905,-29
98089,194,166,445,-710,-1180,-34,0.03321049461541514,-0.07749115410263534,0.08302623653853786,0.9929747369039597,-783,-2347,-199
98145,154,102,443,-768,-1202,-27,-0.0,-0.030442953397463883,0.07333984227570844,0.9968422614051905,-1678,18,-187
98191,119,48,442,-796,-1191,-10,-0.034594265224390776,-0.037361806442342035,0.06918853044878155,0.9963033069739794,-511,855,-62
98239,74,-18,443,-844,-1159,11,-0.03874557705131767,-0.04843197131414709,0.07195607166673282,0.9954774975678145,379,-952,-68
98289,29,-78,443,-880,-1125,24,-0.02905918278848825,-0.005535082435902524,0.06918853044878155,0.9971649181617006,552,-2155,-200
98344,9,-108,450,-785,-1017,47,-0.024907870961561357,0.0401293476602933,0.05673459496800087,0.9972714871860814,597,-303,-163
98389,-30,-162,450,-718,-981,30,-0.008302623653853786,0.0401293476602933,0.049815741923122714,0.997917378219996,644,1105,-31
98445,-67,-213,451,-680,-972,28,0.008302623653853786,0.017989017916683205,0.04843197131414709,0.99862996441599,438,-268,23
98490,-89,-259,458,-624,-989,54,0.01383770608975631,0.037361806442342035,0.04843197131414709,0.9980315413172892,-117,-1697,-82
98544,-123,-315,459,-569,-1006,36,0.002767541217951262,0.07749115410263534,0.047048200705171454,0.995878470779369,-740,-408,-123
98589,-144,-357,459,-492,-994,14,-0.012453935480780678,0.07749115410263534,0.047048200705171454,0.9958044423165063,-221,1189,-10
98644,-168,-408,459,-418,-970,3,-0.011070164871805049,0.047048200705171454,0.04843197131414709,0.9976563849416004,515,360,107
98696,-197,-472,466,-393,-979,39,-0.0,0.05396705375004961,0.05119951253209835,0.9972292449712928,-305,-1170,-18
98739,-213,-512,466,-350,-976,23,-0.017989017916683205,0.07472361288468407,0.049815741923122714,0.9957967507320468,-1335,-662,-34
98790,-226,-560,462,-251,-927,-24,-0.05258328314107398,0.07472361288468407,0.05258328314107398,0.9944276637069542,-780,765,16
98843,-237,-601,467,-196,-856,13,-0.05535082435902524,0.060885906794927766,0.05673459496800087,0.9949926524001835,941,-744,116
98889,-246,-644,464,-124,-809,-22,-0.031826724006439516,0.11070164871805048,0.05119951253209835,0.992023595750927,657,-3361,-82
98939,-249,-677,463,-22,-774,-35,-0.037361806442342035,0.17712263794888078,0.047048200705171454,0.9823533648111562,-1531,-1809,-126
