Timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz,stateEstimateZ.qw,stateEstimateZ.qx,stateEstimateZ.qy,stateEstimateZ.qz,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,stateEstimateZ.rateYaw
188277,-277,302,424,-91,103,-7,-0.05258328314107398,-0.0581183655769765,0.019372788525658834,0.9967356464888304,-2811,2917,-44
188325,-284,310,423,-180,182,-21,-0.11070164871805048,-0.12038804298087989,0.01660524730770757,0.9863955240369803,-1256,1217,-41
188375,-296,322,422,-307,296,-41,-0.12177181358985553,-0.1259231254167824,0.01383770608975631,0.9844407091290365,-75,-559,-39
188425,-314,339,419,-425,415,-69,-0.13145820785268494,-0.11762050176292864,0.011070164871805049,0.9842568814099845,-808,61,-96
188475,-338,364,415,-545,554,-85,-0.14529591394244126,-0.11900427237190427,0.005535082435902524,0.9821896168313388,99,-291,-119
188526,-369,396,410,-663,700,-93,-0.13284197846166057,-0.10101525445522107,0.002767541217951262,0.985972244965012,644,-1135,-78
188575,-399,430,402,-742,822,-96,-0.12177181358985553,-0.07610738349365971,0.001383770608975631,0.9896349714777102,537,-1002,-101
188625,-439,478,398,-819,958,-64,-0.10516656628214796,-0.05119951253209835,0.001383770608975631,0.9931347785833501,1075,-1040,-113
188675,-481,526,395,-858,1047,-26,-0.07472361288468407,-0.022140329743610097,-0.001383770608975631,0.9969575079486617,1452,-1307,-79
188725,-525,575,393,-862,1086,13,-0.03874557705131767,0.009686394262829417,-0.002767541217951262,0.999198326029799,1099,-1031,-83
188775,-564,620,397,-808,1053,69,-0.008302623653853786,0.034594265224390776,-0.009686394262829417,0.9993200073150902,961,-991,-9
188825,-600,668,404,-740,1023,112,0.005535082435902524,0.07057230105775718,-0.009686394262829417,0.997444277617565,-756,-1905,28
188875,-630,715,413,-622,995,140,-0.015221476698731942,0.116236731153953,-0.012453935480780678,0.9930268014856367,-636,-1097,-24
188925,-657,763,422,-485,1003,139,-0.019372788525658834,0.13284197846166057,-0.015221476698731942,0.990830969676585,412,-190,-27
188975,-674,810,426,-333,992,101,-0.008302623653853786,0.14252837272448998,-0.017989017916683205,0.9895924032870123,80,-524,18
