timestamp,motor.m1,motor.m2,motor.m3,motor.m4
1032760,52699.0,48419.0,55999.0,48563.0
1032810,53345.0,45487.0,54002.0,49300.0
1032860,52258.0,47494.0,51893.0,45375.0
1032910,45015.0,42647.0,48748.0,33840.0
1032960,45223.0,35573.0,45936.0,35145.0
1033010,44936.0,32700.0,43407.0,40018.0
1033060,43021.0,37307.0,45324.0,40147.0
1033116,45308.0,44210.0,47823.0,37979.0
1033160,49252.0,45481.0,47268.0,37629.0
1033215,48926.0,42984.0,49269.0,44624.0
1033260,53331.0,45531.0,43195.0,41816.0
1033316,47376.0,47172.0,48189.0,41703.0
1033361,36751.0,42600.0,53026.0,40509.0
1033416,46869.0,37202.0,48524.0,39172.0
1033460,53441.0,40547.0,39667.0,42062.0
1033515,45880.0,45144.0,45219.0,40879.0
1033560,38216.0,45984.0,52985.0,40494.0
1033615,50139.0,42681.0,50277.0,41128.0
1033660,56192.0,43068.0,41320.0,44319.0
1033714,50023.0,47816.0,47274.0,45850.0
1033767,42101.0,49196.0,54699.0,43594.0
1033810,51570.0,45692.0,51026.0,42846.0
1033860,59289.0,41273.0,33818.0,47774.0
1033915,40727.0,51555.0,49712.0,42393.0
1033961,33132.0,52427.0,56898.0,38552.0
1034010,52904.0,42357.0,50079.0,39574.0
1034060,58253.0,37881.0,33823.0,48278.0
1034110,46728.0,47141.0,44612.0,48853.0
1034165,35588.0,52698.0,55171.0,39435.0
1034210,49571.0,45695.0,49997.0,36058.0
1034261,55801.0,34436.0,35984.0,47104.0
1034314,47178.0,39562.0,42720.0,48820.0
1034367,36318.0,49613.0,51238.0,38050.0
1034411,50054.0,40199.0,44527.0,42195.0
1034460,52115.0,42534.0,38709.0,43412.0
1034511,43872.0,45141.0,46534.0,40681.0
1034560,41170.0,44321.0,50592.0,40636.0
1034610,51681.0,41079.0,45319.0,43012.0
1034661,52459.0,42526.0,41496.0,45488.0
1034715,44199.0,44506.0,49505.0,44678.0
