timestamp,motor.m1,motor.m2,motor.m3,motor.m4
94903,50616.0,47817.0,50404.0,47090.0
94954,49344.0,47653.0,50492.0,46611.0
95003,48929.0,46440.0,50065.0,45727.0
95053,49012.0,45571.0,48598.0,45187.0
95103,48330.0,45501.0,48340.0,44430.0
95153,46780.0,45379.0,48030.0,44489.0
95205,47242.0,44656.0,48160.0,43766.0
95253,47567.0,44914.0,47281.0,43137.0
95305,47230.0,44545.0,47795.0,43333.0
95353,46775.0,44677.0,47977.0,43959.0
95405,46760.0,43507.0,45975.0,42023.0
95453,50812.0,45801.0,40032.0,41378.0
95503,32745.0,43524.0,53701.0,45588.0
95553,37902.0,42258.0,54067.0,43839.0
95603,55042.0,43795.0,40419.0,39358.0
95653,54756.0,46072.0,39436.0,43079.0
95704,41336.0,46303.0,53798.0,48570.0
95753,44804.0,46215.0,55885.0,47156.0
95803,57651.0,48046.0,44018.0,44104.0
95855,57917.0,49243.0,41389.0,47379.0
95904,46621.0,49472.0,52947.0,50926.0
95955,46121.0,49788.0,55345.0,48382.0
96003,56032.0,53102.0,47190.0,36581.0
96055,56452.0,42386.0,41478.0,49156.0
96103,45891.0,40202.0,48604.0,53840.0
96153,40204.0,51175.0,51919.0,44372.0
96203,52707.0,53009.0,45731.0,32598.0
96253,55224.0,45257.0,39408.0,42954.0
96303,44077.0,40570.0,48884.0,51557.0
96353,39154.0,49551.0,52901.0,44610.0
96404,52363.0,52518.0,47696.0,31479.0
96453,55023.0,46865.0,42645.0,38957.0
96503,44039.0,40246.0,50125.0,49436.0
96553,29920.0,49297.0,57433.0,43052.0
96603,54577.0,48981.0,46790.0,31079.0
96654,58247.0,44206.0,34280.0,41650.0
96704,44085.0,43047.0,49595.0,49791.0
96754,27750.0,50548.0,57897.0,45660.0
96804,50117.0,50351.0,53328.0,33078.0
96853,58857.0,44959.0,38350.0,39721.0
96904,50382.0,42400.0,47720.0,49452.0
96954,28575.0,49662.0,58534.0,46754.0
97003,43901.0,51237.0,57522.0,33506.0
97053,57569.0,43517.0,44471.0,36982.0
97103,50735.0,26799.0,47825.0,54879.0
97154,33870.0,42702.0,56270.0,49941.0
97203,44781.0,55470.0,54633.0,20026.0
97253,57935.0,50809.0,45056.0,21726.0
97304,51453.0,30545.0,48150.0,51477.0
97354,33945.0,30636.0,57409.0,55588.0
97404,44089.0,49224.0,53627.0,38033.0
97454,58251.0,53671.0,43635.0,22449.0
97504,53674.0,41406.0,48808.0,46017.0
97553,37706.0,30343.0,58120.0,56667.0
97603,45211.0,41066.0,56731.0,50064.0
97653,58449.0,38816.0,45105.0,48303.0
97703,55270.0,44302.0,45195.0,47717.0
97753,42240.0,50170.0,57054.0,42502.0
97803,46955.0,44819.0,57640.0,40988.0
